#,Original Product Name,New Genesis Core Name
86,Bee Bread Powder,Core Base Bee Bread Powder
87,Grass-Fed Collagen Creamer (Vanilla),Core Performance Grass-fed Collagen Creamer Vanilla
88,Omega-3 EPA 180mg + DHA 120mg,Core Focus Omega-3 Epa 180mg + Dha 120mg
89,Platinum Turmeric,Core Immunity Platinum Turmeric
90,CoQ10 Ubiquinone,Core Base COQ10 Ubiquinone
91,Hydration Powder (Matcha Green Tea),Core Performance Hydration Powder Matcha Green Tea
92,Female Enhancement,Core Performance Female Enhancement
93,Apple Cider Vinegar Capsules,Core Energy Apple Cider Vinegar Capsules
94,5-HTP,Core Sleep 5-htp
95,Sleep Support,Core Sleep Sleep Support
96,L-Glutamine Powder,Core Base L-glutamine Powder
97,Keto-5,Core Energy Keto-5
98,Plant Protein (Vanilla),Core Performance Plant Protein Vanilla
99,Multivitamin Bear Gummies (Adult),Core Immunity Multivitamin Bear Gummies Adult
100,Energy Powder (Melon Creamsicle),Core Performance Energy Powder Melon Creamsicle
101,Energy Powder (Yuzu Flavor),Core Performance Energy Powder Yuzu Flavor
102,Focus Powder (Sour Gummi Worm),Core Performance Focus Powder Sour Gummi Worm
103,Ginkgo Biloba + Ginseng,Core Focus Ginkgo Biloba + Ginseng
104,Chaga Mushroom,Core Base Chaga Mushroom
105,Energy Powder (Lychee Splash Energy),Core Performance Energy Powder Lychee Splash Energy
106,Ayurvedic Complex,Core Focus Ayurvedic Complex
107,Birch Chaga Truffles,Core Immunity Birch Chaga Truffles
108,Focus Powder (Sour Candy),Core Performance Focus Powder Sour Candy
109,Colostrum Capsules,Core Performance Colostrum Capsules
110,Turmeric Gummies,Core Recovery Turmeric Gummies
